id	ior	uor	equipe
1610	1	2475	2475
2506	1	2482	2482
4104	1	2492	2492
3634	1	2492	291941
974	1	2492	291942
3565	1	2498	2498
3735	1	2513	1700
2644	1	2520	2520
2513	1	2531	2531
776	1	2535	2535
622	1	2535	291985
2694	1	2544	291998
2264	1	2547	2547
1796	1	2547	291999
2020	1	2553	2553
2543	1	2555	2555
2542	1	2555	2556
692	1	2557	2559
1834	1	2571	2571
867	1	2573	2573
560	1	2586	2586
3694	1	2612	2612
2084	1	2614	2614
2130	1	2616	292069
458	1	2621	2621
2585	1	2624	2624
3350	1	2626	2626
3134	1	2636	292096
2712	1	2705	2705
2617	1	2705	292122
1933	1	2705	292126
181	1	2705	292129
411	1	2705	292132
3319	1	2733	2733
3507	1	2733	292160
3927	1	2738	2738
2077	1	2738	292163
2400	1	2740	2740
1474	1	2746	2746
109	1	2746	292173
358	1	2753	2753
2460	1	2753	292190
3002	1	2764	2764
769	1	2764	292201
3329	1	2764	292202
3975	1	2773	292224
1599	1	2781	2781
1606	1	2781	292227
794	1	2795	2795
700	1	2805	2805
2973	1	2812	2812
2615	1	2812	292260
2389	1	2814	0
2261	1	2817	2817
3860	1	2820	292282
1035	1	2823	2823
2952	1	2839	2839
1408	1	2848	292321
507	1	2853	2853
1464	1	2859	292340
3162	1	2859	292346
447	1	2872	2872
1658	1	2883	2883
628	1	2899	2899
2619	1	2919	2919
3766	1	2926	2926
1272	1	2940	2940
3245	1	2956	2956
1563	1	2956	292454
224	1	2968	2968
2198	1	2968	292479
3017	1	2968	292481
975	1	2984	2984
760	1	2984	292497
738	1	2992	292501
2942	1	2992	292508
2316	1	3005	3005
1882	1	3005	292515
2291	1	3005	292521
2278	1	3014	3014
2373	1	3024	3024
3969	1	3024	292540
2149	1	3026	3026
3541	1	3036	3036
2000	1	3049	3049
578	1	3062	3062
3287	1	3067	3067
743	1	3070	292605
351	1	3073	3073
682	1	3081	327988
955	1	3091	3091
735	1	3094	3094
1739	1	3120	292678
3612	1	3134	3134
446	1	3158	3158
3054	1	3163	3163
3600	1	3163	292712
3814	1	3174	3174
3441	1	3185	3185
1949	1	3191	3191
3148	1	3191	292747
3332	1	3191	292748
755	1	3191	292753
1844	1	3219	3219
3498	1	3219	292772
1236	1	3229	3229
2618	1	3229	292782
1222	1	3240	3240
1449	1	3240	292792
3221	1	3254	3254
2504	1	3295	3295
805	1	3298	3298
3756	1	3319	3319
1344	1	3319	292882
1217	1	3319	292884
3536	1	3319	292886
3906	1	3319	292887
3648	1	3319	292890
451	1	3319	292895
2031	1	3337	292903
1958	1	3351	3351
3480	1	3351	292924
1041	1	3351	292930
319	1	3351	292931
874	1	3359	292939
1664	1	3366	292943
922	1	3371	3371
3510	1	3371	292956
1262	1	3380	292958
3472	1	3387	3387
3294	1	3387	292968
3105	1	3387	292969
1060	1	3389	3389
3769	1	3396	292987
608	1	3398	3398
663	1	3398	292999
1040	1	3419	3419
2276	1	3421	3426
1332	1	3421	293024
469	1	3421	293032
1572	1	3427	293041
638	1	3427	293044
2884	1	3437	3437
2998	1	3437	293055
3299	1	3442	3442
2422	1	3442	293074
660	1	3451	3451
211	1	3451	293088
237	1	3451	293089
3323	1	3467	3467
3692	1	3467	449949
956	1	3470	293102
3744	1	3481	293117
3356	1	3481	293119
2789	1	3486	293131
2787	1	3494	3494
3006	1	3497	3497
1121	1	3504	3504
1448	1	3513	293177
3372	1	3517	3517
2014	1	3523	3523
1626	1	3531	3531
425	1	3531	293207
2153	1	3559	327799
1158	1	3564	3564
